"TYPE","meanwp","meanct","meanwc"
"AH1",2.0328544004654,21.8354316377814,2.16289941752931
"AH3",1.33270152312747,20.1831558702928,1.52015274436942
"AH1",2.59633898309098,22.3852633151776,10.0643648263826
"BVic",2.56177603842206,21.1833161489164,3.02893473320472
"AH1",3.00928960323372,15.8303546552827,4.79257548819053
"AH1",3.4793366280849,14.3470265278605,8.74599455154627
"BVic",1.50716674083962,24.9265173411246,17.0614921769747
"BVic",1.94629921448311,22.5748650142372,4.73364276876833
"AH1",2.82132322335984,18.651477820842,4.65752974639123
"AH1",2.11683550752692,22.4239204558531,4.01255975155558
"BVic",1.69612030543342,18.8342329344006,2.54099472719568
"AH1",1.98757869106629,22.3229816159885,2.13992719978974
"AH1",2.03805276810171,22.4408192766322,2.10394293091543
"AH1",3.91390543071505,21.8494421418082,5.36612035284226
"AH3",3.59244063386167,20.3039645185512,4.37892170143381
"AH1",3.64767521681967,21.1313162114062,4.9167147945981
"AH3",1.9590718425591,20.3071705735134,2.65472898215578
"AH1",4.86442754994224,16.7257469413171,3.53853672452619
"BVic",1.76469220783649,17.0988557610358,6.58769773601427
"BVic",1.64356278933328,22.8479878038191,3.96889417902869
"BVic",3.32869062833879,20.1362177476738,12.6410917732226
"BVic",1.6559469803274,21.450507940163,2.58560843303954
"AH1",2.20093027399728,20.331373852923,2.38754563824478
"BVic",3.54688894950959,21.0142206563251,3.31131292389039
"BVic",1.65480082659301,21.1862399833985,2.43768429334482
"BVic",3.27103731730355,21.5924204984848,3.00268240134662
"BVic",1.65066252185667,18.9243044432246,2.99623322924707
"BVic",1.8800780769461,20.7912581583743,9.05854917043268
"AH1",1.66701781527686,19.9680413515481,2.08142654299515
"AH1",2.24936787632005,18.4081026101445,2.36766087474869
"BVic",3.06229700956644,16.4631254149645,4.46519530874435
"BVic",1.82750858702655,21.3005380945089,2.90092863345389
"AH3",1.84466312826172,20.279596353549,1.91763961115118
"AH1",2.16380512393533,23.613879861554,1.98617262056637
"AH1",2.32086668615531,21.1380422702478,3.70303892686216
"BVic",1.67461565060348,21.3382516771268,2.33111253385528
"BVic",1.44245393611093,20.4010064465035,1.41452413851936
"AH1",4.93306447037016,20.8671875692446,4.11178022100418
"AH3",1.36741083347663,19.0459242318858,1.46241136603491
"BVic",3.0130787619367,16.3246396575271,16.9846404185881
