"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
"5-11",226.274,14.142,640,5
">40",5,5,7.071,28.284
">40",5,7.071,56.568,28.284
"5-11",14.142,7.071,113.137,40
">40",113.137,20,28.284,5
">40",5,7.071,113.137,56.568
"5-11",320,160,5,113.137
">40",5,5,40,20
">40",5,40,7.071,28.284
"12-18",160,320,28.284,14.142
"12-18",5,40,320,7.071
"19-40",7.78656471189649,9.55867938070551,6.31464355035076,8.38119201395808
"19-40",5,80,14.142,80
"12-18",56.568,113.137,5,113.137
"12-18",640,160,7.071,10
"5-11",226.274,80,56.568,113.137
"<5",40,160,5,113.137
"19-40",20,56.568,10,80
"12-18",113.137,226.274,14.142,56.568
"12-18",113.137,113.137,14.142,56.568
"5-11",14.142,56.568,28.284,28.284
"19-40",40,14.142,28.284,10
"19-40",7.071,10,5,7.071
"5-11",80,40,5,80
"<5",40,5,5,5
">40",5,7.071,7.071,5
">40",5,5,7.071,7.071
">40",5,5,5,5
"12-18",28.284,56.568,7.071,452.548
"5-11",113.137,56.568,5,7.071
"19-40",5,28.284,5,28.284
"19-40",80,28.284,28.284,226.274
"5-11",640,80,28.284,7.071
"5-11",226.274,40,28.284,5
"<5",320,5,5,5
"19-40",113.137,20,5,5
"19-40",26.3096721292494,16.8073728248601,8.17966284636687,28.5480403260239
"5-11",452.548,56.568,14.142,113.137
">40",5,28.284,80,56.568
"12-18",56.568,113.137,28.284,113.137
"19-40",7.78656471189649,68.90616389301,13.7250756894277,124.253080511935
"19-40",14.312999845706,51.9641361612471,8.17966284636687,46.6107063371761
"12-18",226.274,113.137,28.284,28.284
"5-11",28.284,28.284,28.284,28.284
"<5",127.531787194981,66.5194279978659,5,5.68646100097843
">40",10,5,14.142,28.284
"19-40",160,14.142,5,28.284
"<5",94.0646291587726,5.2479543128836,5,31.624375550995
"19-40",20,5,5,5
"19-40",19.4055836456957,51.9641361612471,10.5956641866744,17.4850516222763
"12-18",160,113.137,20,28.284
"12-18",160,28.284,14.142,28.284
"5-11",16.1268406723832,33.5908608424012,16.1274372143723,159.5813511455
"19-40",80,14.142,14.142,160
"5-11",320,28.284,5,56.568
"5-11",5,80,20,56.568
"<5",5,5,5,5
"<5",5,5,5,7.071
"19-40",5,5,5,10
"12-18",20,80,7.071,7.071
"12-18",80,80,14.142,7.071
"<5",5,50.1646518028404,5,31.624375550995
">40",28.284,40,10,7.071
">40",40,10,5,7.071
"19-40",5,28.284,7.071,56.568
"5-11",160,80,14.142,113.137
"5-11",160,40,40,14.142
"5-11",226.274,20,14.142,28.284
">40",56.568,14.142,10,56.568
">40",5,28.284,20,320
"19-40",7.071,10,7.071,10
"19-40",320,113.137,28.284,113.137
"5-11",80,56.568,40,7.071
"5-11",320,452.548,40,5
"5-11",452.548,452.548,20,40
"<5",172.906419255583,37.8306184743043,65.2168873001004,5.68646100097843
"19-40",7.78656471189649,68.90616389301,50.0571616735391,28.5480403260239
"5-11",5,320,5,56.568
"<5",5,160,5,40
">40",40,452.548,80,20
"12-18",140.845337784412,819.331625662706,78.6654653863361,36.9180288743976
"5-11",135.799961223572,425.778032750576,58.8188910784322,46.849926275791
"5-11",5,640,5,10
"19-40",40,320,20,40
">40",5,320,40,10
"12-18",80,320,28.284,5
"5-11",10,226.274,7.071,7.071
"5-11",320,320,113.137,5
"19-40",160,160,5,40
"12-18",320,1280,20,5
"12-18",640,113.137,56.568,28.284
"5-11",320,452.548,56.568,5
"5-11",320,640,40,7.071
"5-11",160,452.548,56.568,5
"12-18",226.274,113.137,28.284,14.142
"19-40",5,56.568,5,5
"12-18",5,640,28.284,40
"<5",56.568,80,5,20
"19-40",5,5,5,5
">40",226.274,226.274,20,14.142
"5-11",320,320,40,40
"<5",5,7.071,5,5
"12-18",5,320,5,7.071
"19-40",7.071,226.274,20,20
"5-11",5,226.274,28.284,7.071
"12-18",7.071,226.274,80,7.071
"19-40",28.284,160,5,40
"5-11",113.137,320,40,7.071
"<5",5,160,20,7.071
"12-18",7.071,80,28.284,5
">40",28.284,40,10,14.142
"12-18",40,320,40,80
"5-11",56.568,80,5,10
"<5",5,113.137,5,7.071
">40",40,113.137,14.142,10
"12-18",160,452.548,56.568,40
"5-11",56.568,226.274,28.284,10
"5-11",14.142,113.137,56.568,10
"5-11",320,113.137,80,40
"<5",40,160,7.071,5
">40",10,10,40,40
"19-40",19.4055836456957,68.90616389301,17.7790082150462,59.5584410272048
"<5",5,5,5,20
"12-18",20,113.137,28.284,40
">40",5,56.568,5,5
"19-40",20,56.568,5,28.284
"12-18",20,113.137,20,80
"5-11",5,226.274,5,20
">40",7.071,113.137,14.142,10
"19-40",7.071,113.137,5,20
"5-11",54.4902542096393,59.0640295798436,45.4071297034714,22.4564908269107
